Order_ID,Order_Date,CustomerName,State,City,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25681,2018-06-04 00:00:00.0000000,Bhawna,Madhya Pradesh,Indore,1096,658,7,Electronics,Electronic Games,COD
B-26055,2018-03-10 00:00:00.0000000,Harivansh,Uttar Pradesh,Mathura,5729,64,14,Furniture,Chairs,EMI
B-25955,2018-01-16 00:00:00.0000000,Shiva,Maharashtra,Pune,2927,146,8,Furniture,Bookcases,EMI
B-26093,2018-03-27 00:00:00.0000000,Sarita,Maharashtra,Pune,2847,712,8,Electronics,Printers,Credit Card
B-25602,2018-04-01 00:00:00.0000000,Vrinda,Maharashtra,Pune,2617,1151,4,Electronics,Phones,Credit Card
B-25881,2018-11-25 00:00:00.0000000,Lalita,Uttar Pradesh,Mathura,2244,247,4,Clothing,Trousers,Credit Card
B-25696,2018-06-21 00:00:00.0000000,Noopur,Karnataka,Bangalore,275,-275,4,Clothing,Saree,COD
B-25687,2018-06-11 00:00:00.0000000,Sanjna,Maharashtra,Mumbai,387,-213,5,Clothing,Saree,UPI
B-25643,2018-04-29 00:00:00.0000000,Kirti,Jammu and Kashmir,Kashmir,50,-44,2,Clothing,Hankerchief,UPI
B-25851,2018-11-06 00:00:00.0000000,Kushal,Nagaland,Kohima,135,-54,5,Clothing,Kurti,COD
B-25703,2018-06-28 00:00:00.0000000,Ekta,Madhya Pradesh,Indore,231,-190,9,Clothing,Hankerchief,COD
B-25887,2018-12-01 00:00:00.0000000,Vishakha,Uttar Pradesh,Prayagraj,2125,-234,6,Electronics,Printers,EMI
B-25923,2018-12-27 00:00:00.0000000,Gopal,Maharashtra,Mumbai,3873,-891,6,Electronics,Phones,Credit Card
B-25756,2018-08-20 00:00:00.0000000,Mohan,Maharashtra,Mumbai,729,-492,5,Furniture,Bookcases,UPI
B-25761,2018-08-25 00:00:00.0000000,Madhav,Uttar Pradesh,Mathura,2188,1050,5,Furniture,Bookcases,Credit Card
B-25655,2018-05-11 00:00:00.0000000,Nida,Madhya Pradesh,Indore,6,-3,1,Clothing,Hankerchief,UPI
B-25786,2018-09-19 00:00:00.0000000,Madan Mohan,Uttar Pradesh,Mathura,1854,433,5,Furniture,Bookcases,Credit Card
B-26095,2018-03-28 00:00:00.0000000,Monisha,Rajasthan,Jaipur,6,1,1,Clothing,Kurti,UPI
B-25853,2018-11-08 00:00:00.0000000,Gaurav,Gujarat,Ahmedabad,2093,721,5,Furniture,Chairs,Credit Card
B-25735,2018-07-30 00:00:00.0000000,Arindam,Uttar Pradesh,Lucknow,7,-1,2,Clothing,Skirt,UPI
B-25910,2018-12-14 00:00:00.0000000,Jay,Delhi,Delhi,1622,-624,5,Furniture,Tables,Credit Card
B-25950,2018-01-13 00:00:00.0000000,Shruti,Madhya Pradesh,Indore,1622,95,5,Electronics,Printers,Credit Card
B-25744,2018-08-08 00:00:00.0000000,Devendra,Andhra Pradesh,Hyderabad,373,254,6,Electronics,Printers,UPI
B-25845,2018-11-03 00:00:00.0000000,Snel,Kerala ,Thiruvananthapuram,82,-33,4,Clothing,Kurti,COD
B-26001,2018-02-07 00:00:00.0000000,Patil,Delhi,Delhi,8,2,2,Clothing,Skirt,UPI
B-25830,2018-10-26 00:00:00.0000000,Aastha,Himachal Pradesh,Simla,1954,782,3,Electronics,Phones,Credit Card
B-25842,2018-11-02 00:00:00.0000000,Sheetal,Maharashtra,Pune,1543,370,8,Electronics,Printers,Credit Card
B-25778,2018-09-11 00:00:00.0000000,Surabhi,Maharashtra,Mumbai,1506,-266,6,Electronics,Printers,Credit Card
B-25686,2018-06-11 00:00:00.0000000,Pooja,Himachal Pradesh,Simla,1829,-56,6,Furniture,Tables,Credit Card
B-25754,2018-08-18 00:00:00.0000000,Akshay,Bihar,Patna,9,-1,3,Clothing,Skirt,UPI
B-26048,2018-03-04 00:00:00.0000000,Parth,Maharashtra,Pune,1461,202,5,Furniture,Tables,EMI
B-25816,2018-10-12 00:00:00.0000000,Mane,Andhra Pradesh,Hyderabad,391,113,8,Clothing,Stole,COD
B-26022,2018-02-18 00:00:00.0000000,Shrichand,Punjab,Chandigarh,1824,1303,8,Electronics,Phones,Credit Card
B-25883,2018-11-27 00:00:00.0000000,Saptadeep,Gujarat,Surat,16,-15,4,Clothing,Hankerchief,UPI
B-26003,2018-02-08 00:00:00.0000000,Hitesh,Madhya Pradesh,Bhopal,1745,122,2,Furniture,Tables,Credit Card
B-26097,2018-03-28 00:00:00.0000000,Vini,Karnataka,Bangalore,663,-212,5,Electronics,Printers,UPI
B-25710,2018-07-05 00:00:00.0000000,Megha,Maharashtra,Pune,10,-1,1,Clothing,Leggings,UPI
B-25797,2018-09-30 00:00:00.0000000,Sauptik,Madhya Pradesh,Indore,1630,802,5,Furniture,Tables,EMI
B-25618,2018-04-18 00:00:00.0000000,Manju,Andhra Pradesh,Hyderabad,12,0,2,Clothing,Hankerchief,UPI
B-25723,2018-07-18 00:00:00.0000000,Wale,Maharashtra,Mumbai,12,-7,2,Clothing,Leggings,UPI
B-25755,2018-08-19 00:00:00.0000000,Shourya,Kerala ,Thiruvananthapuram,1709,564,3,Clothing,Trousers,Credit Card
B-25788,2018-09-21 00:00:00.0000000,Dinesh,Tamil Nadu,Chennai,12,3,1,Clothing,Stole,UPI
